Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,A2C,7,5000,117.6,12.547509713086498,0.0,2.5845701694488525,117.6
CartPole-v1,A2C,7,10000,500.0,0.0,100.0,5.113250255584717,500.0
CartPole-v1,A2C,7,15000,358.4,21.378493866500513,0.0,7.68782114982605,358.4
CartPole-v1,A2C,7,20000,467.4,41.26790520489258,60.0,10.248082399368286,467.4
CartPole-v1,A2C,7,25000,99.6,27.839540226088506,0.0,12.76973557472229,99.6
CartPole-v1,A2C,7,30000,22.2,1.6,0.0,15.389936685562134,22.2
CartPole-v1,A2C,7,35000,439.6,51.902215752316394,20.0,17.96820592880249,439.6
CartPole-v1,A2C,7,40000,500.0,0.0,100.0,20.51727795600891,500.0
CartPole-v1,A2C,7,45000,500.0,0.0,100.0,23.101646423339844,500.0
CartPole-v1,A2C,7,50000,436.8,16.845177351396455,0.0,25.661235094070435,436.8
CartPole-v1,A2C,7,55000,390.4,99.64055399283968,40.0,28.238142251968384,390.4
CartPole-v1,A2C,7,60000,500.0,0.0,100.0,30.78922724723816,500.0
CartPole-v1,A2C,7,65000,500.0,0.0,100.0,33.33528685569763,500.0
CartPole-v1,A2C,7,70000,500.0,0.0,100.0,35.95912551879883,500.0
CartPole-v1,A2C,7,75000,500.0,0.0,100.0,38.50566840171814,500.0
CartPole-v1,A2C,7,80000,500.0,0.0,100.0,41.04962229728699,500.0
CartPole-v1,A2C,7,85000,500.0,0.0,100.0,43.6072793006897,500.0
CartPole-v1,A2C,7,90000,500.0,0.0,100.0,46.15194892883301,500.0
CartPole-v1,A2C,7,95000,500.0,0.0,100.0,48.77374815940857,500.0
CartPole-v1,A2C,7,100000,500.0,0.0,100.0,51.362486839294434,500.0
CartPole-v1,A2C,42,5000,210.2,26.791043279424564,0.0,2.6345603466033936,210.2
CartPole-v1,A2C,42,10000,180.8,35.03940638766587,0.0,5.149828910827637,180.8
CartPole-v1,A2C,42,15000,500.0,0.0,100.0,7.687626838684082,500.0
CartPole-v1,A2C,42,20000,118.8,8.930845424706442,0.0,10.229856491088867,118.8
CartPole-v1,A2C,42,25000,410.8,30.77271518732138,0.0,12.76190733909607,410.8
CartPole-v1,A2C,42,30000,200.6,9.645724441429994,0.0,15.299541473388672,200.6
CartPole-v1,A2C,42,35000,482.4,26.004614975038564,60.0,17.84790277481079,482.4
CartPole-v1,A2C,42,40000,499.4,1.2,80.0,20.375208377838135,499.4
CartPole-v1,A2C,42,45000,500.0,0.0,100.0,22.91696548461914,500.0
CartPole-v1,A2C,42,50000,500.0,0.0,100.0,25.483403205871582,500.0
CartPole-v1,A2C,42,55000,500.0,0.0,100.0,28.09359622001648,500.0
CartPole-v1,A2C,42,60000,500.0,0.0,100.0,30.673414945602417,500.0
CartPole-v1,A2C,42,65000,500.0,0.0,100.0,33.237414836883545,500.0
CartPole-v1,A2C,42,70000,485.4,29.2,80.0,35.84173107147217,485.4
CartPole-v1,A2C,42,75000,500.0,0.0,100.0,38.36844086647034,500.0
CartPole-v1,A2C,42,80000,500.0,0.0,100.0,40.963749408721924,500.0
CartPole-v1,A2C,42,85000,392.8,83.6956390739685,20.0,43.48598337173462,392.8
CartPole-v1,A2C,42,90000,135.4,6.151422599691879,0.0,46.096368074417114,135.4
CartPole-v1,A2C,42,95000,195.2,44.09716544178322,0.0,48.6540949344635,195.2
CartPole-v1,A2C,42,100000,332.2,59.98799879975994,0.0,51.200345039367676,332.2
CartPole-v1,A2C,1337,5000,82.0,24.306377763870945,0.0,2.619188070297241,82.0
CartPole-v1,A2C,1337,10000,500.0,0.0,100.0,5.161044359207153,500.0
CartPole-v1,A2C,1337,15000,500.0,0.0,100.0,7.672430992126465,500.0
CartPole-v1,A2C,1337,20000,500.0,0.0,100.0,10.199594974517822,500.0
CartPole-v1,A2C,1337,25000,500.0,0.0,100.0,12.72598910331726,500.0
CartPole-v1,A2C,1337,30000,500.0,0.0,100.0,15.300742387771606,500.0
CartPole-v1,A2C,1337,35000,193.6,8.912911982062878,0.0,17.83682131767273,193.6
CartPole-v1,A2C,1337,40000,500.0,0.0,100.0,20.374804973602295,500.0
CartPole-v1,A2C,1337,45000,123.2,5.03587132480567,0.0,22.910130262374878,123.2
CartPole-v1,A2C,1337,50000,172.2,11.496086290559932,0.0,25.453848838806152,172.2
CartPole-v1,A2C,1337,55000,190.6,8.2365041127896,0.0,28.035765171051025,190.6
CartPole-v1,A2C,1337,60000,278.8,18.988417522268673,0.0,30.669843673706055,278.8
CartPole-v1,A2C,1337,65000,180.8,5.491812087098392,0.0,33.25517416000366,180.8
CartPole-v1,A2C,1337,70000,171.0,14.683323874382122,0.0,35.829010248184204,171.0
CartPole-v1,A2C,1337,75000,258.2,14.783774890061064,0.0,38.46211099624634,258.2
CartPole-v1,A2C,1337,80000,500.0,0.0,100.0,40.987425804138184,500.0
CartPole-v1,A2C,1337,85000,500.0,0.0,100.0,43.5838680267334,500.0
CartPole-v1,A2C,1337,90000,329.4,34.038801389003105,0.0,46.14248013496399,329.4
CartPole-v1,A2C,1337,95000,216.8,14.958609561052123,0.0,48.72149467468262,216.8
CartPole-v1,A2C,1337,100000,254.6,11.892854997854805,0.0,51.281562089920044,254.6
